type,name,link,difficulty
Stack, Daily Temperatures ,https://leetcode.com/problems/daily-temperatures/,Medium
Stack, Car Fleet ,https://leetcode.com/problems/car-fleet/,Medium
Stack, Largest Rectangle In Histogram ,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard
Binary Search, Binary Search ,https://leetcode.com/problems/binary-search/,Easy
Binary Search, Search a 2D Matrix ,https://leetcode.com/problems/search-a-2d-matrix/,Medium
Binary Search, Koko Eating Bananas ,https://leetcode.com/problems/koko-eating-bananas/,Medium
Binary Search, Find Minimum In Rotated Sorted Array ,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium
Binary Search, Search In Rotated Sorted Array ,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium
Binary Search, Time Based Key Value Store ,https://leetcode.com/problems/time-based-key-value-store/,Medium
Binary Search, Median of Two Sorted Arrays ,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard
Linked List, Reverse Linked List ,https://leetcode.com/problems/reverse-linked-list/,Easy
Linked List, Merge Two Sorted Lists ,https://leetcode.com/problems/merge-two-sorted-lists/,Easy
Linked List, Reorder List ,https://leetcode.com/problems/reorder-list/,Medium
Linked List, Remove Nth Node From End of List ,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium
Linked List, Copy List With Random Pointer ,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium
Linked List, Add Two Numbers ,https://leetcode.com/problems/add-two-numbers/,Medium
Linked List, Linked List Cycle ,https://leetcode.com/problems/linked-list-cycle/,Easy
Linked List, Find The Duplicate Number ,https://leetcode.com/problems/find-the-duplicate-number/,Medium
Linked List, LRU Cache ,https://leetcode.com/problems/lru-cache/,Medium
Linked List, Merge K Sorted Lists ,https://leetcode.com/problems/merge-k-sorted-lists/,Hard
Linked List, Reverse Nodes In K Group ,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard
Trees, Invert Binary Tree ,https://leetcode.com/problems/invert-binary-tree/,Easy
Trees, Maximum Depth of Binary Tree ,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy
Trees, Diameter of Binary Tree ,https://leetcode.com/problems/diameter-of-binary-tree/,Easy
Trees, Balanced Binary Tree ,https://leetcode.com/problems/balanced-binary-tree/,Easy
Trees, Same Tree ,https://leetcode.com/problems/same-tree/,Easy
Trees, Subtree of Another Tree ,https://leetcode.com/problems/subtree-of-another-tree/,Easy
Trees, Lowest Common Ancestor of a Binary Search Tree ,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium
Trees, Binary Tree Level Order Traversal ,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium
Trees, Binary Tree Right Side View ,https://leetcode.com/problems/binary-tree-right-side-view/,Medium
Trees, Count Good Nodes In Binary Tree ,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,Medium
Trees, Validate Binary Search Tree ,https://leetcode.com/problems/validate-binary-search-tree/,Medium
Trees, Kth Smallest Element In a Bst ,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium
Trees, Construct Binary Tree From Preorder And Inorder Traversal ,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium
Trees, Binary Tree Maximum Path Sum ,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard
Trees, Serialize And Deserialize Binary Tree ,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard
Tries, Implement Trie Prefix Tree ,https://leetcode.com/problems/implement-trie-prefix-tree/,Medium
Tries, Design Add And Search Words Data Structure ,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium
Tries, Word Search II ,https://leetcode.com/problems/word-search-ii/,Hard
Heap / Priority Queue, Kth Largest Element In a Stream ,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy
Heap / Priority Queue, Last Stone Weight ,https://leetcode.com/problems/last-stone-weight/,Easy
Heap / Priority Queue, K Closest Points to Origin ,https://leetcode.com/problems/k-closest-points-to-origin/,Medium
Heap / Priority Queue, Kth Largest Element In An Array ,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium
Heap / Priority Queue, Task Scheduler ,https://leetcode.com/problems/task-scheduler/,Medium
Heap / Priority Queue, Design Twitter ,https://leetcode.com/problems/design-twitter/,Medium
Heap / Priority Queue, Find Median From Data Stream ,https://leetcode.com/problems/find-median-from-data-stream/,Hard
Backtracking, Subsets ,https://leetcode.com/problems/subsets/,Medium
Backtracking, Combination Sum ,https://leetcode.com/problems/combination-sum/,Medium
Backtracking, Permutations ,https://leetcode.com/problems/permutations/,Medium
Backtracking, Subsets II ,https://leetcode.com/problems/subsets-ii/,Medium
Backtracking, Combination Sum II ,https://leetcode.com/problems/combination-sum-ii/,Medium
Backtracking, Word Search ,https://leetcode.com/problems/word-search/,Medium
Backtracking, Palindrome Partitioning ,https://leetcode.com/problems/palindrome-partitioning/,Medium
Backtracking, Letter Combinations of a Phone Number ,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium
Backtracking, N Queens ,https://leetcode.com/problems/n-queens/,Hard
Graphs, Number of Islands ,https://leetcode.com/problems/number-of-islands/,Medium
Graphs, Clone Graph ,https://leetcode.com/problems/clone-graph/,Medium
Graphs, Max Area of Island ,https://leetcode.com/problems/max-area-of-island/,Medium
Graphs, Pacific Atlantic Water Flow ,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium
Graphs, Surrounded Regions ,https://leetcode.com/problems/surrounded-regions/,Medium
Graphs, Rotting Oranges ,https://leetcode.com/problems/rotting-oranges/,Medium
Graphs, Walls And Gates ,https://leetcode.com/problems/walls-and-gates/,Medium
Graphs, Course Schedule ,https://leetcode.com/problems/course-schedule/,Medium
Graphs, Course Schedule II ,https://leetcode.com/problems/course-schedule-ii/,Medium
Graphs, Redundant Connection ,https://leetcode.com/problems/redundant-connection/,Medium
Graphs, Number of Connected Components In An Undirected Graph ,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Medium
Graphs, Graph Valid Tree ,https://leetcode.com/problems/graph-valid-tree/,Medium
Graphs, Word Ladder ,https://leetcode.com/problems/word-ladder/,Hard
Advanced Graphs, Reconstruct Itinerary ,https://leetcode.com/problems/reconstruct-itinerary/,Hard
Advanced Graphs, Min Cost to Connect All Points ,https://leetcode.com/problems/min-cost-to-connect-all-points/,Medium
Advanced Graphs, Network Delay Time ,https://leetcode.com/problems/network-delay-time/,Medium
Advanced Graphs, Swim In Rising Water ,https://leetcode.com/problems/swim-in-rising-water/,Hard
Advanced Graphs, Alien Dictionary ,https://leetcode.com/problems/alien-dictionary/,Hard
Advanced Graphs, Cheapest Flights Within K Stops ,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Medium
1-D Dynamic Programming, Climbing Stairs ,https://leetcode.com/problems/climbing-stairs/,Easy
1-D Dynamic Programming, Min Cost Climbing Stairs ,https://leetcode.com/problems/min-cost-climbing-stairs/,Easy
1-D Dynamic Programming, House Robber ,https://leetcode.com/problems/house-robber/,Medium
1-D Dynamic Programming, House Robber II ,https://leetcode.com/problems/house-robber-ii/,Medium
1-D Dynamic Programming, Longest Palindromic Substring ,https://leetcode.com/problems/longest-palindromic-substring/,Medium
1-D Dynamic Programming, Palindromic Substrings ,https://leetcode.com/problems/palindromic-substrings/,Medium
1-D Dynamic Programming, Decode Ways ,https://leetcode.com/problems/decode-ways/,Medium
1-D Dynamic Programming, Coin Change ,https://leetcode.com/problems/coin-change/,Medium
1-D Dynamic Programming, Maximum Product Subarray ,https://leetcode.com/problems/maximum-product-subarray/,Medium
1-D Dynamic Programming, Word Break ,https://leetcode.com/problems/word-break/,Medium
1-D Dynamic Programming, Longest Increasing Subsequence ,https://leetcode.com/problems/longest-increasing-subsequence/,Medium
1-D Dynamic Programming, Partition Equal Subset Sum ,https://leetcode.com/problems/partition-equal-subset-sum/,Medium
2-D Dynamic Programming, Unique Paths ,https://leetcode.com/problems/unique-paths/,Medium
2-D Dynamic Programming, Longest Common Subsequence ,https://leetcode.com/problems/longest-common-subsequence/,Medium
2-D Dynamic Programming, Best Time to Buy And Sell Stock With Cooldown ,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Medium
2-D Dynamic Programming, Coin Change II ,https://leetcode.com/problems/coin-change-ii/,Medium
2-D Dynamic Programming, Target Sum ,https://leetcode.com/problems/target-sum/,Medium
2-D Dynamic Programming, Interleaving String ,https://leetcode.com/problems/interleaving-string/,Medium
2-D Dynamic Programming, Longest Increasing Path In a Matrix ,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,Hard
2-D Dynamic Programming, Distinct Subsequences ,https://leetcode.com/problems/distinct-subsequences/,Hard
2-D Dynamic Programming, Edit Distance ,https://leetcode.com/problems/edit-distance/,Hard
2-D Dynamic Programming, Burst Balloons ,https://leetcode.com/problems/burst-balloons/,Hard
2-D Dynamic Programming, Regular Expression Matching ,https://leetcode.com/problems/regular-expression-matching/,Hard
Greedy, Maximum Subarray ,https://leetcode.com/problems/maximum-subarray/,Medium
Greedy, Jump Game ,https://leetcode.com/problems/jump-game/,Medium
Greedy, Jump Game II ,https://leetcode.com/problems/jump-game-ii/,Medium
Greedy, Gas Station ,https://leetcode.com/problems/gas-station/,Medium
Greedy, Hand of Straights ,https://leetcode.com/problems/hand-of-straights/,Medium
Greedy, Merge Triplets to Form Target Triplet ,https://leetcode.com/problems/merge-triplets-to-form-target-triplet/,Medium
Greedy, Partition Labels ,https://leetcode.com/problems/partition-labels/,Medium
Greedy, Valid Parenthesis String ,https://leetcode.com/problems/valid-parenthesis-string/,Medium
Intervals, Insert Interval ,https://leetcode.com/problems/insert-interval/,Medium
Intervals, Merge Intervals ,https://leetcode.com/problems/merge-intervals/,Medium
Intervals, Non Overlapping Intervals ,https://leetcode.com/problems/non-overlapping-intervals/,Medium
Intervals, Meeting Rooms ,https://leetcode.com/problems/meeting-rooms/,Easy
Intervals, Meeting Rooms II ,https://leetcode.com/problems/meeting-rooms-ii/,Medium
Intervals, Minimum Interval to Include Each Query ,https://leetcode.com/problems/minimum-interval-to-include-each-query/,Hard
Math & Geometry, Rotate Image ,https://leetcode.com/problems/rotate-image/,Medium
Math & Geometry, Spiral Matrix ,https://leetcode.com/problems/spiral-matrix/,Medium
Math & Geometry, Set Matrix Zeroes ,https://leetcode.com/problems/set-matrix-zeroes/,Medium
Math & Geometry, Happy Number ,https://leetcode.com/problems/happy-number/,Easy
Math & Geometry, Plus One ,https://leetcode.com/problems/plus-one/,Easy
Math & Geometry," Pow(x, n) ",https://leetcode.com/problems/powx-n/,Medium
Math & Geometry, Multiply Strings ,https://leetcode.com/problems/multiply-strings/,Medium
Math & Geometry, Detect Squares ,https://leetcode.com/problems/detect-squares/,Medium
Bit Manipulation, Single Number ,https://leetcode.com/problems/single-number/,Easy
Bit Manipulation, Number of 1 Bits ,https://leetcode.com/problems/number-of-1-bits/,Easy
Bit Manipulation, Counting Bits ,https://leetcode.com/problems/counting-bits/,Easy
Bit Manipulation, Reverse Bits ,https://leetcode.com/problems/reverse-bits/,Easy
Bit Manipulation, Missing Number ,https://leetcode.com/problems/missing-number/,Easy
Bit Manipulation, Sum of Two Integers ,https://leetcode.com/problems/sum-of-two-integers/,Medium
Bit Manipulation, Reverse Integer ,https://leetcode.com/problems/reverse-integer/,Medium
