type,name,link,difficulty
Trees, Invert Binary Tree ,https://leetcode.com/problems/invert-binary-tree/,Easy
Trees, Maximum Depth of Binary Tree ,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy
Trees, Same Tree ,https://leetcode.com/problems/same-tree/,Easy
Trees, Subtree of Another Tree ,https://leetcode.com/problems/subtree-of-another-tree/,Easy
Trees, Lowest Common Ancestor of a Binary Search Tree ,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium
Trees, Binary Tree Level Order Traversal ,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium
Trees, Validate Binary Search Tree ,https://leetcode.com/problems/validate-binary-search-tree/,Medium
Trees, Kth Smallest Element In a Bst ,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium
Trees, Construct Binary Tree From Preorder And Inorder Traversal ,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium
Trees, Binary Tree Maximum Path Sum ,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard
Trees, Serialize And Deserialize Binary Tree ,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard
Tries, Implement Trie Prefix Tree ,https://leetcode.com/problems/implement-trie-prefix-tree/,Medium
Tries, Design Add And Search Words Data Structure ,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium
Tries, Word Search II ,https://leetcode.com/problems/word-search-ii/,Hard
Heap / Priority Queue, Find Median From Data Stream ,https://leetcode.com/problems/find-median-from-data-stream/,Hard
Backtracking, Combination Sum ,https://leetcode.com/problems/combination-sum/,Medium
Backtracking, Word Search ,https://leetcode.com/problems/word-search/,Medium
Graphs, Number of Islands ,https://leetcode.com/problems/number-of-islands/,Medium
Graphs, Clone Graph ,https://leetcode.com/problems/clone-graph/,Medium
Graphs, Pacific Atlantic Water Flow ,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium
Graphs, Course Schedule ,https://leetcode.com/problems/course-schedule/,Medium
Graphs, Number of Connected Components In An Undirected Graph ,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Medium
Graphs, Graph Valid Tree ,https://leetcode.com/problems/graph-valid-tree/,Medium
Advanced Graphs, Alien Dictionary ,https://leetcode.com/problems/alien-dictionary/,Hard
1-D Dynamic Programming, Climbing Stairs ,https://leetcode.com/problems/climbing-stairs/,Easy
1-D Dynamic Programming, House Robber ,https://leetcode.com/problems/house-robber/,Medium
1-D Dynamic Programming, House Robber II ,https://leetcode.com/problems/house-robber-ii/,Medium
1-D Dynamic Programming, Longest Palindromic Substring ,https://leetcode.com/problems/longest-palindromic-substring/,Medium
1-D Dynamic Programming, Palindromic Substrings ,https://leetcode.com/problems/palindromic-substrings/,Medium
1-D Dynamic Programming, Decode Ways ,https://leetcode.com/problems/decode-ways/,Medium
1-D Dynamic Programming, Coin Change ,https://leetcode.com/problems/coin-change/,Medium
1-D Dynamic Programming, Maximum Product Subarray ,https://leetcode.com/problems/maximum-product-subarray/,Medium
1-D Dynamic Programming, Word Break ,https://leetcode.com/problems/word-break/,Medium
1-D Dynamic Programming, Longest Increasing Subsequence ,https://leetcode.com/problems/longest-increasing-subsequence/,Medium
2-D Dynamic Programming, Unique Paths ,https://leetcode.com/problems/unique-paths/,Medium
2-D Dynamic Programming, Longest Common Subsequence ,https://leetcode.com/problems/longest-common-subsequence/,Medium
Greedy, Maximum Subarray ,https://leetcode.com/problems/maximum-subarray/,Medium
Greedy, Jump Game ,https://leetcode.com/problems/jump-game/,Medium
Intervals, Insert Interval ,https://leetcode.com/problems/insert-interval/,Medium
Intervals, Merge Intervals ,https://leetcode.com/problems/merge-intervals/,Medium
Intervals, Non Overlapping Intervals ,https://leetcode.com/problems/non-overlapping-intervals/,Medium
Intervals, Meeting Rooms ,https://leetcode.com/problems/meeting-rooms/,Easy
Intervals, Meeting Rooms II ,https://leetcode.com/problems/meeting-rooms-ii/,Medium
Math & Geometry, Rotate Image ,https://leetcode.com/problems/rotate-image/,Medium
Math & Geometry, Spiral Matrix ,https://leetcode.com/problems/spiral-matrix/,Medium
Math & Geometry, Set Matrix Zeroes ,https://leetcode.com/problems/set-matrix-zeroes/,Medium
Bit Manipulation, Number of 1 Bits ,https://leetcode.com/problems/number-of-1-bits/,Easy
Bit Manipulation, Counting Bits ,https://leetcode.com/problems/counting-bits/,Easy
Bit Manipulation, Reverse Bits ,https://leetcode.com/problems/reverse-bits/,Easy
Bit Manipulation, Missing Number ,https://leetcode.com/problems/missing-number/,Easy
Bit Manipulation, Sum of Two Integers ,https://leetcode.com/problems/sum-of-two-integers/,Medium
